adjectif_centre,count_centre,classification_centre,adjectif_gauche,count_gauche,classification_gauche,adjectif_droite,count_droite,classificiation_droite
premier,1529,HR,premier,314,HR,premier,503,HR
législatif,1127,IB,politique,209,HR,politique,399,HR
politique,1057,HR,autre,177,N,nouveau,349,N
européen,1014,N,législatif,171,IB,législatif,292,IB
nouveau,799,N,nouveau,149,N,européen,288,N
dernier,761,HR,grand,125,N,dernier,286,HR
autre,738,N,dernier,122,HR,grand,283,N
français,717,IB,européen,121,IB,autre,266,N
public,714,IB,français,116,IB,français,215,IB
grand,512,N,seul,114,N,public,202,IB
économique,445,IB,ancien,106,N,seul,158,N
social,423,IB,social,101,IB,second,151,HR
présidentiel,421,HR,public,97,IB,économique,147,IB
seul,368,N,second,91,HR,présidentiel,142,HR
second,368,HR,même,88,N,électoral,131,HR
prochain,345,N,présidentiel,78,HR,ancien,127,N
ancien,306,N,électoral,68,HR,bon,111,N
électoral,258,HR,petit,63,N,même,105,N
financier,249,IB,tel,57,N,prochain,95,N
bon,248,N,bon,53,N,absolu,88,N
même,240,N,all,51,N,général,77,HR
reserved,231,N,possible,47,N,financier,75,IB
all,229,N,communiste,46,HR,possible,72,N
lacrx,228,N,insoumis,45,HR,social,68,IB
important,223,N,nombreux,44,HR,tel,66,N
deuxième,221,HR,économique,43,IB,petit,65,N
petit,221,N,jeune,40,HR,nombreux,64,HR
général,220,HR,gauche,38,HR,sortant,64,HR
nombreux,214,HR,général,38,HR,nationaliste,62,HR
budgétaire,212,IB,absolu,37,N,olympique,62,IB
long,193,N,deuxième,32,HR,haut,57,N
fort,191,N,commun,32,N,fort,55,N
possible,171,N,–,31,N,long,53,N
difficile,165,N,fort,31,N,international,52,IB
principal,163,N,important,30,N,insoumis,50,HR
étranger,160,IB,écologique,29,HR,important,49,N
troisième,155,HR,culturel,29,IB,sûr,47,N
sortant,152,HR,sortant,27,HR,court,47,N
absolu,149,N,démocratique,26,HR,central,46,N
tel,148,N,principal,26,N,deuxième,45,HR
fiscal,142,IB,gros,26,N,jeune,45,HR
haut,141,N,local,26,HR,budgétaire,45,IB
britannique,141,IB,proche,25,HR,local,45,HR
élevé,138,N,étranger,25,IB,proche,44,HR
insoumis,137,HR,rural,24,IB,prêt,44,N
commun,134,N,troisième,24,HR,gauche,43,HR
différent,132,N,historique,24,N,difficile,43,N
actuel,130,N,clair,23,N,étranger,41,IB
jeune,122,HR,difficile,23,N,troisième,39,HR
international,119,IB,long,23,N,principal,39,N
local,111,HR,meilleur,21,HR,clair,39,N
clair,108,N,civil,21,IB,propre,38,N
certain,107,N,propre,21,N,démocratique,34,HR
court,101,N,différent,20,N,actuel,34,N
américain,99,IB,raciste,20,HR,particulier,34,N
allemand,97,IB,nationaliste,20,HR,différent,34,N
favorable,97,HR,haut,19,N,historique,34,N
gauche,94,HR,libéral,19,HR,macronist,33,HR
central,91,N,présent,19,N,relatif,33,N
relatif,89,N,médiatique,18,N,fiscal,31,IB
supplémentaire,89,N,actuel,18,N,commun,29,N
macronist,88,HR,parlementaire,18,HR,compris,29,N
majeur,88,N,macronist,18,HR,certain,29,N
prêt,87,N,parisien,18,IB,futur,29,N
réform,84,N,international,18,IB,communiste,28,HR
énergétique,84,IB,antisémite,18,HR,simple,28,N
moyen,83,N,vieux,18,N,élevé,28,N
unique,83,N,climatique,17,IB,agricole,28,IB
mondial,82,IB,constitutionnel,17,IB,nécessaire,28,N
particulier,78,N,particulier,17,N,inquiet,27,N
bancaire,77,N,massif,17,N,radical,27,HR
sûr,77,N,prêt,17,N,présent,27,N
nécessaire,75,N,environnemental,17,IB,américain,26,IB
climatique,73,IB,compris,17,N,plein,26,N
propre,71,N,collectif,17,IB,civil,26,IB
culturel,71,IB,grave,17,HR,parlementaire,26,HR
