nom_centre,count_centre,classification_centre,nom_gauche,count_gauche,classification_gauche,nom_droite,count_droite,classification_droite
pourcent,2428,HR,droite,499,HR,pourcent,516,HR
élection,1842,HR,gauche,340,HR,élection,496,HR
juin,1467,HR,élection,269,HR,président,426,HR
droit,1437,IB,pourcent,261,HR,droite,391,HR
page,1258,N,président,256,N,gauche,390,HR
français,1139,N,parti,231,HR,parti,378,HR
droite,1112,HR,candidat,198,HR,majorité,339,HR
parti,1039,HR,an,190,N,candidat,309,HR
an,1030,N,ministre,177,HR,an,299,N
candidat,930,HR,tour,172,HR,tour,299,HR
gauche,881,HR,droit,160,HR,ministre,289,HR
président,842,N,juin,145,N,gouvernement,267,HR
tour,798,HR,majorité,144,HR,pays,261,N
majorité,783,HR,page,142,N,député,246,HR
mot,737,N,pouvoir,137,N,dissolution,238,HR
ministre,724,N,député,136,N,droit,236,HR
euro,724,IB,assemblée,136,HR,état,226,IB
programme,636,IB,campagne,126,HR,campagne,222,HR
campagne,635,HR,jour,123,N,assemblée,214,N
gouvernement,624,N,dissolution,121,HR,chef,205,HR
année,608,N,pays,119,N,page,205,N
juillet,599,HR,gouvernement,118,HR,jour,203,N
marché,548,IB,face,114,N,année,199,N
assemblée,537,IB,document,109,N,français,196,N
document,537,N,programme,109,IB,document,186,N
pays,528,N,vote,108,HR,juin,180,HR
cas,515,IB,dimanche,105,N,cas,169,N
dissolution,514,HR,heure,102,N,pouvoir,169,HR
vote,486,HR,électeur,102,HR,pen,163,HR
entreprise,486,N,fois,99,N,fois,156,N
député,477,N,chef,98,N,circonscription,154,HR
mesure,467,N,république,93,N,question,152,N
circonscription,465,HR,voix,92,N,face,147,N
milliard,465,N,cas,92,N,juillet,147,HR
point,460,HR,circonscription,91,HR,politique,146,HR
projet,453,IB,question,86,N,temps,145,N
face,445,N,pen,85,HR,dimanche,143,N
politique,441,N,tête,84,N,électeur,143,HR
semaine,434,N,français,84,N,entreprise,143,N
mois,425,N,côté,84,HR,heure,141,N
taux,424,HR,juillet,83,N,semaine,138,N
jour,420,I,monde,83,N,tête,135,HR
législative,417,HR,nouveau,82,N,vote,134,HR
prix,404,IB,etat,81,IB,monde,133,N
question,392,N,personne,80,N,mois,132,N
résultat,380,HR,force,78,HR,point,130,N
fois,371,N,all,76,N,législative,130,HR
économie,370,IB,projet,76,IB,soir,129,N
dimanche,370,N,année,76,N,euro,126,IB
baisse,362,N,place,75,N,programme,121,IB
électeur,360,HR,temps,74,N,voix,119,N
voix,354,N,gens,73,N,camp,119,N
chef,353,HR,partie,72,N,projet,116,N
hausse,348,IB,vie,72,N,fin,116,N
effet,347,N,politique,72,HR,république,115,HR
fin,345,N,soir,71,N,européen,115,IB
nouveau,338,N,groupe,71,HR,force,114,IB
pouvoir,336,HR,loi,70,IB,décision,113,N
place,332,N,semaine,67,N,jeu,111,N
position,332,HR,sarl,67,IB,scrutin,109,HR
etat,328,N,liberation,67,IB,élu,108,HR
tête,324,HR,point,66,N,crise,105,IB
personne,323,N,mesure,63,N,résultat,105,HR
sujet,320,N,fait,62,N,place,104,N
niveau,313,HR,histoire,62,N,côté,101,HR
annonce,311,IB,législative,61,HR,moment,100,N
million,311,N,fin,60,N,situation,97,N
site,306,N,–,60,N,ligne,97,N
réforme,304,IB,idée,60,N,million,96,IB
pen,303,HR,scrutin,60,HR,risque,93,HR
temps,303,N,culture,60,IB,alliance,93,HR
crise,301,IB,mois,59,N,dette,93,IB
banque,301,N,camp,57,N,nombre,90,N
